Name;Date;Place;Age;Contacts
Parked Out festival;Saturday 21st August 2021;The Old Post Office in Barnsley;Minimum age: 18;"Name: The Old Post Office; Phone: 01226 387619; Type of venue: Bar/Pub; Parking: large car park; Address: Huddersfield Road, Barnsley, S75 4DE; Venue short url: https://www.skiddle.com/venues/9890/; Food served: pub meals available; "
Terminal V Summer Series :: CHARLOTTE DE WITTE festival;Saturday 21st August 2021;Royal Highland Showground in Newbridge;Minimum age: 18;"Name: Royal Highland Showground; Address: 1 Ingliston Gardens, Ingliston, Newbridge, EH28 8NB; Phone: ; Venue short url: https://www.skiddle.com/venues/81318/; Type of venue: Other; "
cinch presents Creamfields 2021 festival;Thursday 26th - Sunday 29th August 2021;Creamfields in Cheshire;Minimum age: 18;"Name: Creamfields; Phone: 20, 000; Capacity: 70000; Type of venue: Live; Opening hours: 7.00am; Food served: Yes; Address: Daresbury, Warrington, Cheshire, WA4 4AG; Venue short url: https://www.skiddle.com/venues/55796/; Music Policy: Dance music - EDM / Techno / Trance  / Hard Dance / House / Drum & Bass; Dress code: casual; Drinks served: Yes; "
Solfest festival;Thursday 26th - Sunday 29th August 2021;North Lakes Country Park in Silloth, Cumbria;No age restrictions;"Name: North Lakes Country Park; Address: Tarnside, Silloth, Cumbria, CA7 4NQ; Phone: ; Venue short url: https://www.skiddle.com/venues/94950/; Type of venue: Outdoors; "
Glastonferret festival;Thursday 26th - Sunday 29th August 2021;The Ferret in  Preston;Minimum age: 16;"Name: The Ferret; Phone: 01772 200017; Venue short url: https://www.skiddle.com/venues/10946/; Address: 55 Fylde Road,  Preston, PR1 2XQ; Website: https://theferret.live/; Type of venue: Live; "
Victorious Festival;Friday 27th - Sunday 29th August 2021;Southsea Seafront in Southsea;No age restrictions;"Name: Southsea Seafront; Address: Speaker's Corner, Clarence Esplanade, Southsea, PO5 3PG; Phone: 02392 834067; Venue short url: https://www.skiddle.com/venues/49422/; Type of venue: Outdoors; "
Stone Valley Festival Midlands;Friday 27th - Sunday 29th August 2021;Thoresby Park in Nottingham;Minimum age: 18;"Name: Thoresby Park; Address: Thoresby Park, Nr Ollerton, Nottingham, NG22 9EH; Phone: 01283 820548; Venue short url: https://www.skiddle.com/venues/15505/; Type of venue: Outdoors; "
Reading Festival;Thursday 26th - Sunday 29th August 2021;Richfield Avenue Festival Site in Reading;Minimum age: 13;"Name: Richfield Avenue Festival Site; Address: Richfield Avenue, Reading, RG1 8EQ; Phone: 020 8963 0940; Venue short url: https://www.skiddle.com/venues/785/; Type of venue: Outdoors; "
Leeds Festival Tickets;Thursday 26th - Sunday 29th August 2021;Bramham Park in Wetherby;Minimum age: 13;"Name: Bramham Park; Phone: 01937846000; Venue short url: https://www.skiddle.com/venues/11786/; Opening hours: Mon-Fri - 10am til 4pm // Sat/Sun - Closed; Address: Bramham Park, Wetherby, LS23 6ND; Website: http://www.bramhampark.co.uk; Type of venue: Outdoors; Nearest Bus Stop: 770; "
Big Feastival  festival;Friday 27th - Sunday 29th August 2021;Alex James Farm in Kingham;No age restrictions;"Name: Alex James Farm; Address: Alex James Farm, Kingham, OX7 6UJ; Phone: N/A; Venue short url: https://www.skiddle.com/venues/44524/; Type of venue: Outdoors; "
Alfresco festival;Friday 27th - Sunday 29th August 2021;Colebrook Park in Tunbridge Wells,;Minimum age: 18;"Name: Colebrook Park; Phone: 07909 522141; Venue short url: https://www.skiddle.com/venues/81485/; Music Policy: Live Music; Dress code: Casual; Opening hours: 12:00 - 23:50; Food served: Online Catering; Parking: Off Road FREE; Nearest Train Station: Tonbridge; Address:  Kingstanding Way, Tunbridge Wells, , TN2 3UP; Website: http://www.theultimatetributefest.co.uk/; Capacity: 5000; Type of venue: Outdoors; Clientele: Families; Drinks served: Onsite Catering; Disabled facilities: Yes; Nearest Bus Stop: 500 meters; "
Moovin Festival;Friday 27th - Sunday 29th August 2021;Whitebottom Farm in Stockport;Minimum age: 18;"Name: Whitebottom Farm; Address: Etherow Country Park, Compstall, Stockport, SK6 5HZ; Phone: ; Venue short url: https://www.skiddle.com/venues/58626/; Type of venue: Outdoors; "
South East Dance Festival;Saturday 28th August 2021;Garon Park in Southend-On-Sea;Minimum age: 18;"Name: Garon Park; Phone: 07968 779950; Venue short url: https://www.skiddle.com/venues/44340/; Music Policy: All kinds; Ambiance: Yes; Clientele: All ages ; Drinks served: Yes ; Disabled facilities: Yes; Nearest Bus Stop: Cluny square; Address:  Eastern Avenue, Southend-on-Sea, SS2 4FA, Southend-On-Sea, SS2 4FA; Website: https://www.facebook.com/intheparkconcerts/?ref=settings; Capacity: 10,000; Type of venue: Outdoors; Dress code: none; Opening hours: 11am till 11.30pm; Food served: Yes; Parking: 2 large free car parks; Nearest Train Station: Prittlewell; "
Yam Carnival festival;Saturday 28th August 2021;Clapham Common in London;Minimum age: 16;"Name: Clapham Common; Phone: ; Music Policy: Trance, tech house, house, tech; Ambiance: Chilled out park. Changes to outdoor club vibe for SW4 festival; Clientele: Trendy festival goers; Drinks served: Beers, cider, wines, spirits; Disabled facilities: The majority of the path(s) are wide enough for wheelchair users. There are accessible toilet facilities and bench seats situated along the paths for people to rest. https://www.accessable.co.uk/venues/clapham-common; Nearest Bus Stop: Right outside; Address: Clapham Common, London, SW4 9DE; Venue short url: https://www.skiddle.com/venues/923/; Type of venue: Outdoors; Dress code: Anything; Opening hours: Clapham Common is open 24 hours a day.; Food served: Variety of takeaway food stands; Parking: Parking is a nightmare. Most of the streets are resident permits only. You can park in these zones on Sundays all other days best bet is to use the tube.; Nearest Train Station: Clapham Junction; "
Noughty 90s Festival Newcastle;Saturday 28th - Sunday 29th August 2021;Leazes Park  in Newcastle Upon Tyne;Minimum age: 18;"Name: Leazes Park; Address: Unnamed Road Newcastle upon Tyne, England, Tyne And Wear, NE2 4BJ; Phone: ; Venue short url: https://www.skiddle.com/venues/104216/; Type of venue: Other; "
Eastern Electrics Festival;Saturday 28th August 2021;Lee Valley Showground in London;Minimum age: 18;"Name: Lee Valley Showground; Address: Station Road, London, EN9 1AB; Phone: ; Venue short url: https://www.skiddle.com/venues/104530/; Type of venue: Nightclub; "
Clacton Family Festival;Saturday 28th August 2021;Weeley Car Boot in Clacton-on-Sea;No age restrictions;"Name: Weeley Car Boot; Phone: ; Capacity: 5000; Address: Saxons Lodge, Colchester Road, Weeley, Clacton-on-Sea, CO16 9AG; Venue short url: https://www.skiddle.com/venues/100279/; Type of venue: Outdoors; "
RTRN II DANCE festival;Sunday 29th August 2021;Clapham Common in London;Minimum age: 18;"Name: Clapham Common; Phone: ; Music Policy: Trance, tech house, house, tech; Ambiance: Chilled out park. Changes to outdoor club vibe for SW4 festival; Clientele: Trendy festival goers; Drinks served: Beers, cider, wines, spirits; Disabled facilities: The majority of the path(s) are wide enough for wheelchair users. There are accessible toilet facilities and bench seats situated along the paths for people to rest. https://www.accessable.co.uk/venues/clapham-common; Nearest Bus Stop: Right outside; Address: Clapham Common, London, SW4 9DE; Venue short url: https://www.skiddle.com/venues/923/; Type of venue: Outdoors; Dress code: Anything; Opening hours: Clapham Common is open 24 hours a day.; Food served: Variety of takeaway food stands; Parking: Parking is a nightmare. Most of the streets are resident permits only. You can park in these zones on Sundays all other days best bet is to use the tube.; Nearest Train Station: Clapham Junction; "
Maiden Voyage Festival;Sunday 29th August 2021;Lee Valley Showground in London;Minimum age: 18;"Name: Lee Valley Showground; Address: Station Road, London, EN9 1AB; Phone: ; Venue short url: https://www.skiddle.com/venues/104530/; Type of venue: Nightclub; "
Save The Rave Festival - Cardiff;Sunday 29th August 2021;VSA Warehouse in Cardiff;Minimum age: 18;"Name: VSA Warehouse; Phone: ; Capacity: 2500; Drinks served: Yes; Disabled facilities: Yes; Nearest Bus Stop: Llandough Hill; Address: Penarth Road, Cardiff, Cardiff, CF11 8TW; Venue short url: https://www.skiddle.com/venues/87030/; Type of venue: Live; Food served: Yes; Parking: N/A; Nearest Train Station: Cogan; "
Proper Fest festival;Sunday 29th August 2021;Weeley Car Boot in Clacton-on-Sea;Minimum age: 18;"Name: Weeley Car Boot; Phone: ; Capacity: 5000; Address: Saxons Lodge, Colchester Road, Weeley, Clacton-on-Sea, CO16 9AG; Venue short url: https://www.skiddle.com/venues/100279/; Type of venue: Outdoors; "
Insomnifest  festival;Sunday 29th August 2021;Beaver Works in Leeds;Minimum age: 18;"Name: Beaver Works; Phone: 01132448088; Capacity: 600-2000; Type of venue: Nightclub; Dress code: Cool and casual clubbers; Opening hours: 9-6; Food served: No; Parking: large carpark overlooked by security and more safe carparking nearby.  all free.; Nearest Train Station: Leeds central; Address: 36 Whitehouse Street, Leeds, LS10 1AD; Venue short url: https://www.skiddle.com/venues/11316/; Music Policy: Loud!; Ambiance: Leeds best clubbing experience; Clientele: Clubbers/ravers; Drinks served: Beers, wines, spirits, soft drinks; Disabled facilities: toilets and ramps but not fully accessable friendly. ; Nearest Bus Stop: Whitehouse Street; "
Lazy Sunday Old Skool & Jungle Festival;Sunday 29th August 2021;Vanilla Fields in Tempsford;Minimum age: 18;"Name: Vanilla Fields; Phone: ; Capacity: 5000; Address: Vanilla Fields, The Anchor Lodge Hotel, Great North Road, Tempsford, Bedfordshire, Tempsford, SG19 2AS; Venue short url: https://www.skiddle.com/venues/104166/; Type of venue: Outdoors; "
ALT + LDN festival;Monday 30th August 2021;Clapham Common in London;Minimum age: 16;"Name: Clapham Common; Phone: ; Music Policy: Trance, tech house, house, tech; Ambiance: Chilled out park. Changes to outdoor club vibe for SW4 festival; Clientele: Trendy festival goers; Drinks served: Beers, cider, wines, spirits; Disabled facilities: The majority of the path(s) are wide enough for wheelchair users. There are accessible toilet facilities and bench seats situated along the paths for people to rest. https://www.accessable.co.uk/venues/clapham-common; Nearest Bus Stop: Right outside; Address: Clapham Common, London, SW4 9DE; Venue short url: https://www.skiddle.com/venues/923/; Type of venue: Outdoors; Dress code: Anything; Opening hours: Clapham Common is open 24 hours a day.; Food served: Variety of takeaway food stands; Parking: Parking is a nightmare. Most of the streets are resident permits only. You can park in these zones on Sundays all other days best bet is to use the tube.; Nearest Train Station: Clapham Junction; "
Weeley Tribute Festival;Monday 30th August 2021;Weeley Car Boot in Clacton-on-Sea;No age restrictions;"Name: Weeley Car Boot; Phone: ; Capacity: 5000; Address: Saxons Lodge, Colchester Road, Weeley, Clacton-on-Sea, CO16 9AG; Venue short url: https://www.skiddle.com/venues/100279/; Type of venue: Outdoors; "
Audio Farm Festival;Thursday 2nd - Tuesday 7th September 2021;Hopton Court in Nr Cleobury Mortimer;No age restrictions;"Name: Hopton Court; Address: Hopton Wafers, Nr Cleobury Mortimer, DY14 OEF; Phone: 07745 804900 ; Venue short url: https://www.skiddle.com/venues/38708/; Type of venue: Outdoors; "
Tynedale Beer Festival;Friday 3rd - Sunday 5th September 2021;Tynedale Park in Corbridge;No age restrictions;"Name: Tynedale Park; Address: Corbridge, Corbridge, NE45; Phone: ; Venue short url: https://www.skiddle.com/venues/59827/; Type of venue: other; "
Riverside Festival;Friday 3rd - Sunday 5th September 2021;The Riverside Museum in Glasgow;Minimum age: 18;"Name: The Riverside Museum; Address: 100 Pointhouse Road, Glasgow, G3 8RS; Phone: ; Venue short url: https://www.skiddle.com/venues/77870/; Type of venue: Live; "
One Island Festival;Friday 3rd - Sunday 5th September 2021;Osea Island Maldon CM9 in Maldon;Minimum age: 18;"Name: Osea Island Maldon CM9; Address: Goldhanger Road, Heybridge, Maldon, CM9 4SA; Phone: ; Venue short url: https://www.skiddle.com/venues/63248/; Type of venue: Nightclub; "
Neighbourhood Weekender festival;Friday 3rd - Sunday 5th September 2021;Victoria Park in Warrington;Minimum age: 5;"Name: Victoria Park; Address: Knutsford Road, Warrington, WA4 1DQ; Phone: 01925442731; Venue short url: https://www.skiddle.com/venues/9666/; Type of venue: Outdoors; "
Sundown Festival;Friday 3rd September 2021;Norfolk Showground in Norwich;Minimum age: 14;"Name: Norfolk Showground; Phone: 01603 748931; Venue short url: https://www.skiddle.com/venues/29820/; Opening hours: 8am-7pm; Parking: Yes; Address: Dereham Road, New Costessey, Norwich, NR5 0TP; Website: https://norfolkshowground.rnaa.org.uk/; Type of venue: Outdoors; Food served: Yes; Nearest Train Station: Norwich; "
Fields Of Gold Festival;Friday 3rd - Saturday 4th September 2021;Ashton Cricket Club in Ashton-Under-Lyne;Minimum age: 18;"Name: Ashton Cricket Club; Address: Reyner Lane, Ashton-Under-Lyne, OL7 0FU; Phone: ; Venue short url: https://www.skiddle.com/venues/96172/; Type of venue: Sports; "
Highest Point Festival;Friday 3rd - Saturday 4th September 2021;Williamson Park in Lancaster;No age restrictions;"Name: Williamson Park; Phone: 01524 33318; Capacity: 10,000; Nearest Bus Stop: Williamson Park Gates (Routes 18, 881, 941); Address: Wyresdale Road, Lancaster, LA1 3DY; Venue short url: https://www.skiddle.com/venues/87076/; Type of venue: Outdoors; Nearest Train Station: Lancaster Train Station; "
The Gathering festival;Saturday 4th September 2021;Inverness Northern Meeting Park in Inverness;No age restrictions;"Name: Inverness Northern Meeting Park; Phone: ; Capacity: 15,000; Address: Northern Meeting Park, Inverness, IV3 5NN; Venue short url: https://www.skiddle.com/venues/75583/; Type of venue: Outdoors; "
Hide&Seek Festival;Saturday 4th September 2021;Capesthorne Hall in Macclesfield;Minimum age: 18;"Name: Capesthorne Hall; Address:  Congleton Road, Siddington, Macclesfield, Macclesfield, SK11 9JY; Phone: ; Venue short url: https://www.skiddle.com/venues/69767/; Type of venue: Other; "
Southport Weekender Festival;Saturday 4th September 2021;Crystal Palace in London;Minimum age: 18;"Name: Crystal Palace; Address: Crystal Palace, London, SE19 1UE; Phone: ; Venue short url: https://www.skiddle.com/venues/94292/; Type of venue: Nightclub; "
Forbidden Forest festival;Saturday 4th September 2021;Forbidden Forest in Bourne;Minimum age: 18;"Name: Forbidden Forest; Address: Grimsthorpe, Bourne, PE10 0LY; Phone: ; Venue short url: https://www.skiddle.com/venues/95238/; Type of venue: Outdoors; "
Slam Dunk Festival - North;Saturday 4th September 2021;Temple Newsam Park in West Yorkshire;No age restrictions;"Name: Temple Newsam Park; Address: Temple Newsam Park Leeds, West Yorkshire, LS15 0AD; Phone: ; Venue short url: https://www.skiddle.com/venues/85833/; Type of venue: Other; "
Manchester Psych Fest festival;Saturday 4th September 2021;Various Venues Around Manchester in Manchester;Minimum age: 18;"Name: Various Venues Around Manchester; Address: Various Venues in Manchester, Manchester, M1 5QR; Phone: ; Venue short url: https://www.skiddle.com/venues/36094/; Type of venue: Live; "
Cross The Tracks festival;Sunday 5th September 2021;Brockwell Park in London;No age restrictions;"Name: Brockwell Park; Address: Brockwell Park, London, SE24 9BJ; Phone: ; Venue short url: https://www.skiddle.com/venues/31832/; Type of venue: Outdoors; "
Slam Dunk Festival - South;Sunday 5th September 2021;Hatfield Park in Hatfield;No age restrictions;"Name: Hatfield Park; Address: Hatfield, Hatfield, AL9 5HX; Phone: ; Venue short url: https://www.skiddle.com/venues/99704/; Type of venue: Nightclub; "
Bearded Theory festival;Thursday 9th - Sunday 12th September 2021;Catton Hall in South Derbyshire;No age restrictions;"Name: Catton Hall; Address: Catton,  walton-on-Trent, South Derbyshire, DE12 8LN; Phone: 01283716311; Venue short url: https://www.skiddle.com/venues/5339/; Type of venue: Outdoors; "
Onboard the Craft festival;Thursday 9th - Saturday 11th September 2021;Stoke Prior Sports  And  Country Club in Bromsgrove;Minimum age: 18;"Name: Stoke Prior Sports  And  Country Club; Phone: 01527 577876; Capacity: 500; Type of venue: Live; Drinks served: Full range of drinks and good ales at cheap prices ; Disabled facilities: yes ; Nearest Bus Stop: 2 min walk ; Address: Weston Hall Road, Bromsgrove , B60 4AL; Venue short url: https://www.skiddle.com/venues/17511/; Music Policy: Licensed for live music ; Dress code: No dress code ; Food served: catering available for all tastes ; Parking: Large car park on site ; Nearest Train Station: Redditch 3 miles - Bromsgrove 5 Miles ; "
Into the Trees festival;Friday 10th - Sunday 12th September 2021;Pippingford Park in Nutley;No age restrictions;"Name: Pippingford Park; Phone: 01825 712966; Capacity: 6000; Address: Pippingford Park Manor, Millbrook Hill, Nutley, Uckfield, TN22, Nutley, TN22 3HW; Venue short url: https://www.skiddle.com/venues/67989/; Type of venue: Outdoors; "
Positive Vibration - Festival of Reggae;Friday 10th - Saturday 11th September 2021;Baltic Triangle in Liverpool;No age restrictions;"Name: Baltic Triangle; Phone: ; Venue short url: https://www.skiddle.com/venues/27782/; Address: Jamaica Street, Liverpool, L1 0BS; Website: http://baltictriangle.co.uk; Type of venue: Nightclub; "
Solihull Summer Fest  festival;Saturday 11th - Sunday 12th September 2021;Tudor Grange Park Solihull  in Solihull;No age restrictions;"Name:  Tudor Grange Park Solihull ; Phone: ; Capacity: 12,500 ; Address:  Monkspath Hall Road , Solihull , B91 3LU; Venue short url: https://www.skiddle.com/venues/105374/; Type of venue: Outdoors; "
Reminisce Festival;Saturday 11th September 2021;Sherdley Park in St Helens;Minimum age: 18;"Name: Sherdley Park; Phone: ; Capacity: 10,000; Disabled facilities: Yes; Address: Marshalls Cross Road, St Helens, WA9 5DE; Venue short url: https://www.skiddle.com/venues/55600/; Type of venue: Outdoors; Nearest Train Station: Lea Green Train Station; "
Fife Fest festival;Saturday 11th - Sunday 12th September 2021;Silverburn Park in Leven;Minimum age: 5;"Name: Silverburn Park; Phone: 01333 278775; Capacity: 300+; Address: No 3 Cottage, Silverburn Park,  Largo Road, Leven, KY8 4PU; Venue short url: https://www.skiddle.com/venues/70630/; Type of venue: Outdoors; "
Confessional Festival;Saturday 11th September 2021;Holy Trinity Church in Blackburn;Minimum age: 16;"Name: Holy Trinity Church; Phone: 08453032760; Capacity: 500; Nearest Bus Stop: Blackburn Boulevard; Address: Mount Pleasant, Blackburn, BB1 5DQ; Venue short url: https://www.skiddle.com/venues/72934/; Type of venue: Other; Nearest Train Station: Blackburn ; "
The Gathering Fest festival;Saturday 11th September 2021;Meridian Showground in North East Lincolnsh;Minimum age: 18;"Name: Meridian Showground; Address: Kings Road, Cleethorpes, North East Lincolnsh, DN35 0AR; Phone: ; Venue short url: https://www.skiddle.com/venues/95424/; Type of venue: Nightclub; "
Futurama Festival;Saturday 11th - Sunday 12th September 2021;Invisible Wind Factory in Liverpool;Minimum age: 16;"Name: Invisible Wind Factory; Phone: 0151 236 3160; Venue short url: https://www.skiddle.com/venues/70821/; Music Policy: Varies, depending on event; Dress code: Casual; Opening hours: Dependent on event; Food served: No; Nearest Bus Stop: Vandries Street, Dublin Street or Cotton Street; Address: 3 Regent Road, Liverpool, L3 7DS; Website: http://thekazimier.co.uk/; Capacity: 1200; Type of venue: Live; Clientele: Music fans; Drinks served: Yes; Parking: On street parking; Nearest Train Station: Sandhills or Moorfields; "
Parklife  festival;Saturday 11th - Sunday 12th September 2021;Heaton Park in Manchester;Minimum age: 17;"Name: Heaton Park; Phone: ; Venue short url: https://www.skiddle.com/venues/6709/; Type of venue: Outdoors; Address: Heaton Park, Manchester, M25 2SW; Website: http://www.manchester.gov.uk/heatonpark; Capacity: 300; "
Knockengorroch Festival;Thursday 16th - Sunday 19th September 2021;Knockengorroch in Kirkcudbrightshire;No age restrictions;"Name: Knockengorroch; Address: Carsphairn, Castle Douglas, Kirkcudbrightshire, DG7 3TJ; Phone: ; Venue short url: https://www.skiddle.com/venues/47670/; Type of venue: Outdoors; "
Isle of Wight Festival;Thursday 16th - Sunday 19th September 2021;Seaclose Park in Newport;No age restrictions;"Name: Seaclose Park; Address: Newport, Isle of White, Newport, PO30 1UD; Phone: n/a; Venue short url: https://www.skiddle.com/venues/8694/; Type of venue: Outdoors; "
Equinox Festival;Friday 17th - Monday 20th September 2021;Chalk Farm in Lincolnshire;No age restrictions;"Name: Chalk Farm; Phone: ; Capacity: 4999; Address: Salters Lane, Wyham, Louth, Lincolnshire, DN36 5RS; Venue short url: https://www.skiddle.com/venues/78882/; Type of venue: Outdoors; "
Ministry of Sound 30th Birthday festival;Friday 17th - Saturday 18th September 2021;Ministry Of Sound in London;Minimum age: 18;"Name: Ministry Of Sound; Phone: 020 7740 8600; Venue short url: https://www.skiddle.com/venues/281/; Music Policy: House, Techno, Underground beats; Ambiance: An unrivalled sound and visual experience; Clientele: Clubbers; Drinks served: 4 fully licenced bars; Disabled facilities: Yes; Nearest Bus Stop: Newington Causeway; Address: 103 Gaunt Street, London, SE1 6DP; Website: http://club.ministryofsound.com/; Capacity: 3500+; Type of venue: Nightclub; Dress code: Jeans, T-Shirts and trainers all fine; Opening hours: Fridays 10:30pm - 6:00am (last entry 4:00am) and Saturdays 11pm - 6am (last entry 4:30am); Food served: A food concession stand can be found outside in the courtyard if you need to refuel; Parking: Limited street parking available outside venue, private car park on Newton Causeway; Nearest Train Station: Elephant and Castle; "
Titan Presents Pendulum Trinity, Andy C + special guests festival;Friday 17th September 2021;Alexandra Head in Cardiff;Minimum age: 18;"Name: Alexandra Head; Address: Cardiff Bay Trail, Cardiff, CF10 4PA; Phone: ; Venue short url: https://www.skiddle.com/venues/104613/; Type of venue: Outdoors; "
Sunbourne Festival x AWOL In The Park;Saturday 18th September 2021;Venue TBA in Chigwell;Minimum age: 18;"Name: Venue TBA; Address: 257 Manford Way, Chigwell, IG7 4AA; Phone: ; Venue short url: https://www.skiddle.com/venues/103078/; Type of venue: Outdoors; "
FLY Open Air festival;Saturday 18th - Sunday 19th September 2021;Princes Street Gardens in Edinburgh;Minimum age: 18;"Name: Princes Street Gardens; Address: Princes Street, Edinburgh, Scotland, EH2, Edinburgh, EH2 2HG; Phone: 0845 225 5121; Venue short url: https://www.skiddle.com/venues/8998/; Type of venue: Outdoors; "
Titan Presents: Eric Prydz and Camelphat plus special guests festival;Saturday 18th September 2021;Alexandra Head in Cardiff;Minimum age: 18;"Name: Alexandra Head; Address: Cardiff Bay Trail, Cardiff, CF10 4PA; Phone: ; Venue short url: https://www.skiddle.com/venues/104613/; Type of venue: Outdoors; "
Hospitality Weekend In The Woods festival;Saturday 18th - Sunday 19th September 2021;Beckenham Place Park in Beckenham, Greater L;Minimum age: 18;"Name: Beckenham Place Park; Address: Flat 1, 16-18 High Street, Beckenham, BR3 1AY; Phone: ; Venue short url: https://www.skiddle.com/venues/96357/; Type of venue: Nightclub; "
Manchester Reggae Festival;Sunday 19th September 2021;Bowlers Exhibition Centre in Manchester;No age restrictions;"Name: Bowlers Exhibition Centre; Phone: 01618760007; Venue short url: https://www.skiddle.com/venues/30902/; Type of venue: Nightclub; Parking: 800 Free car parking spaces. There is Accessible Parking near the Bowlers Exhibition Centre and limited dedicated accessible parking spaces are available in the venue car park area itself.; Address:  Longbridge Road, Stretford, Manchester, M17 1SN; Website: http://www.bowlersexhibitioncentre.co.uk/; Capacity: 300 up to 4,500; Disabled facilities: Mostly disabled friendly with full access to most areas of the event. There are disabled toilet facilities inside the public toilet areas, and ramps throughout the ground floor and outside.; Nearest Bus Stop: Park Way bus stop (MANJPJPG); "
Brighton Music Conference festival;Thursday 23rd - Friday 24th September 2021;British Airways I360 in Brighton;Minimum age: 15;"Name: British Airways I360; Phone: 03337 720 360; Capacity: 175; Disabled facilities: Yes; Address: 23 Kings Road Arches, Brighton, BN1 2LN; Venue short url: https://www.skiddle.com/venues/83703/; Type of venue: Other; "
AVA Festival;Friday 24th - Saturday 25th September 2021;Boucher Road Playing Fields in Belfast;Minimum age: 18;"Name: Boucher Road Playing Fields; Address: Boucher Rd, Belfast, BT12 6EU; Phone: ; Venue short url: https://www.skiddle.com/venues/96729/; Type of venue: Outdoors; "
Project 72 - Drum & Bass Weekend festival;Friday 24th - Sunday 26th September 2021;Pontins Camber Sands in Camber;Minimum age: 18;"Name: Pontins Camber Sands; Address: new lydd rd, camber, east sussex, TN31 7RL, Camber, TN31 7RL; Phone: 01797 228300; Venue short url: https://www.skiddle.com/venues/4729/; Type of venue: Nightclub; "
Playground Festival;Friday 24th - Sunday 26th September 2021;Rouken Glen Park in Glasgow;No age restrictions;"Name: Rouken Glen Park; Phone: ; Venue short url: https://www.skiddle.com/venues/93734/; Type of venue: Outdoors; Dress code: Casual ; Opening hours: 14:00 - 22:00; Food served: Yes; Parking: Local; Nearest Train Station: 5 mins; Address:  Rouken Glen Road, Giffnock,, Glasgow, G46 7UG; Website: http://www.playgroundfestival.co.uk; Music Policy: Eclectic mix of dance, disco, indie, funk and soul.; Ambiance: Family friendly; Clientele: Family friendly; Drinks served: Yes; Disabled facilities: Compatible ; Nearest Bus Stop: 2 mins; "
Elrow goes to the Midlands festival;Saturday 25th - Sunday 26th September 2021;Sandwell Valley Country Park in Sandwell;Minimum age: 18;"Name: Sandwell Valley Country Park; Address: Sandwell Valley Country Park, Sandwell Valley Country Park, Sandwell, B71 4BG, Sandwell, B71 4BG; Phone: ; Venue short url: https://www.skiddle.com/venues/93944/; Type of venue: Outdoors; "
Boundary Brighton festival;Saturday 25th September 2021;Stanmer Park in Brighton;Minimum age: 18;"Name: Stanmer Park; Phone: 01273 292229; Venue short url: https://www.skiddle.com/venues/61190/; Address: Lewes Road, Brighton, Brighton, BN1 9SE; Website: http://www.brighton-hove.gov.uk/; Type of venue: other; "
Cultivate festival;Saturday 25th September 2021;Beach Esplanade in Aberdeen;Minimum age: 18;"Name: Beach Esplanade; Address: Esplanade, Aberdeen, AB24 5NR; Phone: ; Venue short url: https://www.skiddle.com/venues/68061/; Type of venue: Nightclub; "
The Weekender Festival;Saturday 25th - Sunday 26th September 2021;Newnham Park in Plymouth;Minimum age: 18;"Name: Newnham Park; Address: Newnham Park, Plympton, Plymouth, PL7 5BN; Phone: ; Venue short url: https://www.skiddle.com/venues/88413/; Type of venue: Outdoors; "
Mint Festival;Saturday 25th September 2021;Newsam Green Farm in Leeds;Minimum age: 18;"Name: Newsam Green Farm; Address: Newsam Green, Leeds, LS15 9AD; Phone: ; Venue short url: https://www.skiddle.com/venues/104245/; Type of venue: Outdoors; "
Escape festival;Saturday 25th September 2021;Singleton Park in Swansea;Minimum age: 16;"Name: Singleton Park; Address: Mumbles Road, Swansea, SA1 1AA; Phone: 01792 206553; Venue short url: https://www.skiddle.com/venues/1060/; Type of venue: Outdoors; "
Let's Rock Norwich! festival;Saturday 25th September 2021;Earlham Park in Norwich;No age restrictions;"Name: Earlham Park; Address: Earlham Road, Norwich, NR4 7TQ; Phone: ; Venue short url: https://www.skiddle.com/venues/59065/; Type of venue: Outdoors; "
Detonate Festival;Saturday 25th September 2021;Colwick Country Park in Nottingham;Minimum age: 18;"Name: Colwick Country Park; Address: Colwick Park, Racecourse road, Nottingham, NG2 4BH; Phone: 0115 950 0566; Venue short url: https://www.skiddle.com/venues/15654/; Type of venue: Outdoors; "
Electric Woodlands festival;Saturday 25th September 2021;Bygrave Wood in Hertfordshire;Minimum age: 18;"Name: Bygrave Wood; Address: Bygrave Wood, Hertfordshire, SG7 5JX; Phone: 07800553805; Venue short url: https://www.skiddle.com/venues/30162/; Type of venue: Nightclub; "
Kisstory Festival;Saturday 25th - Sunday 26th September 2021;Streatham Common in London;Minimum age: 18;"Name: Streatham Common; Phone: ; Capacity: 10000; Nearest Bus Stop: G1, 50, 60, 109, 118, 249, 250, 255; Address:  Streatham High Road, London, SW16, London, SW16 3BT; Venue short url: https://www.skiddle.com/venues/58094/; Type of venue: Outdoors; Nearest Train Station: Nearest stations are Streatham and Streatham Common; "
One Out Festival;Saturday 25th September 2021;Apps Court Farm in Walton-on-Thames;Minimum age: 18;"Name: Apps Court Farm; Phone: 01932 244 822; Venue short url: https://www.skiddle.com/venues/83698/; Type of venue: Outdoors; Parking: Large availability ; Address: Hurst Road, Walton-on-Thames, KT12 2EG; Website: http://www.appscourtfarm.com; Capacity: 50,000; Opening hours: 9am-5pm; Nearest Train Station: Hampton Court Station or Walton on thames; "
