Марка;Ссылка;Цена в дол;Цена в грн;Город;Состояние;Характеристики;Фото
Citroen C5 Aircross 2021;https://auto.ria.com/newauto/auto-citroen-c5-aircross-1860147.html;34 018 $;926 310 грн;Вінниця;Живі фото;"Дизель 2.0 л;Автомат;Передній привід;";Живі фото
Citroen C3 2021;https://auto.ria.com/newauto/auto-citroen-c3-1844659.html;14 778 $;402 400 грн;Київ;В наявності;"Бензин 1.2 л;Механічна;Передній привід;";Живі фото
Citroen C5 Aircross 2021;https://auto.ria.com/newauto/auto-citroen-c5-aircross-1856336.html;31 927 $;869 380 грн;Вінниця;Живі фото;"Дизель 2.0 л;Автомат;Передній привід;";Живі фото
Citroen Berlingo пасс. 2021;https://auto.ria.com/newauto/auto-citroen-berlingo-pass-1861738.html;20 657 $;562 500 грн;Полтава;Живі фото;"Дизель 1.6 л;Механічна;";Живі фото
Citroen Space Tourer 2021;https://auto.ria.com/newauto/auto-citroen-space-tourer-1862314.html;47 105 $;1 282 680 грн;Київ;В наявності;"Дизель 2.0 л;Автомат;Передній привід;";Без живих фото
Citroen C5 Aircross 2021;https://auto.ria.com/newauto/auto-citroen-c5-aircross-1842753.html;33 924 $;923 750 грн;Вінниця;Живі фото;"Дизель 2.0 л;Автомат;Передній привід;";Живі фото
Citroen C3 Aircross 2021;https://auto.ria.com/newauto/auto-citroen-c3-aircross-1860620.html;25 487 $;694 000 грн;Київ;В наявності;"Дизель 1.5 л;Автомат;Передній привід;";Живі фото
Citroen C3 2021;https://auto.ria.com/newauto/auto-citroen-c3-1863417.html;21 153 $;576 000 грн;Київ;В наявності;"Бензин 1.2 л;Автомат;Передній привід;";Без живих фото
Citroen C3 2021;https://auto.ria.com/newauto/auto-citroen-c3-1860598.html;20 749 $;565 003 грн;Київ;В наявності;"Бензин 1.2 л;Автомат;Передній привід;";Живі фото
Citroen C5 Aircross 2021;https://auto.ria.com/newauto/auto-citroen-c5-aircross-1850197.html;30 617 $;833 700 грн;Київ;В наявності;"Дизель 2.0 л;Автомат;Передній привід;";Живі фото
Citroen Berlingo пасс. 2021;https://auto.ria.com/newauto/auto-citroen-berlingo-pass-1847211.html;27 437 $;747 100 грн;Київ;В наявності;"Дизель 1.5 л;Автомат;Передній привід;";Живі фото
Citroen Berlingo груз. 2021;https://auto.ria.com/newauto/auto-citroen-berlingo-gruz-1786868.html;19 724 $;537 100 грн;Полтава;Перевірений VIN-код;"Бензин 1.6 л;Механічна;Передній привід;";Без живих фото
Citroen C5 Aircross 2020;https://auto.ria.com/newauto/auto-citroen-c5-aircross-1860130.html;32 938 $;896 900 грн;Київ;В наявності;"Дизель 2.0 л;Автомат;Передній привід;";Живі фото
Citroen Berlingo пасс. 2021;https://auto.ria.com/newauto/auto-citroen-berlingo-pass-1860890.html;20 823 $;567 000 грн;Київ;В наявності;"Дизель 1.6 л;Механічна;";Без живих фото
Citroen Berlingo груз. 2021;https://auto.ria.com/newauto/auto-citroen-berlingo-gruz-1853542.html;17 536 $;477 500 грн;Полтава;Перевірений VIN-код;"Бензин 1.6 л;Механічна;Передній привід;";Без живих фото
Citroen Berlingo груз. 2021;https://auto.ria.com/newauto/auto-citroen-berlingo-gruz-1853546.html;18 906 $;514 820 грн;Полтава;Перевірений VIN-код;"Бензин 1.6 л;Механічна;Передній привід;";Без живих фото
Citroen Berlingo груз. 2021;https://auto.ria.com/newauto/auto-citroen-berlingo-gruz-1853548.html;24 741 $;673 690 грн;Полтава;Перевірений VIN-код;"Дизель 1.5 л;Автомат;Передній привід;";Без живих фото
Citroen Berlingo груз. 2021;https://auto.ria.com/newauto/auto-citroen-berlingo-gruz-1853545.html;24 014 $;653 900 грн;Полтава;Перевірений VIN-код;"Дизель 1.5 л;Автомат;Передній привід;";Без живих фото
Citroen C-Elysee 2021;https://auto.ria.com/newauto/auto-citroen-c-elysee-1810233.html;15 236 $;414 890 грн;Вінниця;Живі фото;"Бензин 1.6 л;Механічна;Передній привід;";Живі фото
Citroen C5 Aircross 2021;https://auto.ria.com/newauto/auto-citroen-c5-aircross-1853726.html;30 595 $;833 100 грн;Київ;В наявності;"Дизель 2.0 л;Автомат;Передній привід;";Без живих фото
Citroen Jumper груз. 2020;https://auto.ria.com/newauto/auto-citroen-jumper-gruz-1850081.html;32 009 $;871 600 грн;Харків;Перевірений VIN-код;"Дизель 2.2 л;Механічна;Передній привід;";Без живих фото
Citroen C5 Aircross 2021;https://auto.ria.com/newauto/auto-citroen-c5-aircross-1844525.html;30 606 $;833 400 грн;Київ;В наявності;"Дизель 2.0 л;Автомат;Передній привід;";Живі фото
Citroen Space Tourer 2021;https://auto.ria.com/newauto/auto-citroen-space-tourer-1845369.html;44 851 $;1 221 300 грн;Київ;В наявності;"Дизель 2.0 л;Автомат;Передній привід;";Живі фото
Citroen Jumper пасс. 2020;https://auto.ria.com/newauto/auto-citroen-jumper-pass-1831686.html;47 793 $;1 301 400 грн;Київ;Живі фото;"Дизель 2.0 л;Механічна;Передній привід;";Живі фото
Citroen Berlingo пасс. 2021;https://auto.ria.com/newauto/auto-citroen-berlingo-pass-1862661.html;20 050 $;545 950 грн;Херсон;В наявності;"Дизель 1.6 л;Механічна;";Без живих фото
Citroen C-Elysee 2021;https://auto.ria.com/newauto/auto-citroen-c-elysee-1839341.html;16 533 $;450 200 грн;Київ;Живі фото;"Бензин 1.6 л;Автомат;Передній привід;";Живі фото
Citroen Berlingo пасс. 2020;https://auto.ria.com/newauto/auto-citroen-berlingo-pass-1855758.html;21 642 $;589 320 грн;Херсон;В наявності;"Дизель 1.6 л;Механічна;";Без живих фото
Citroen C3 2021;https://auto.ria.com/newauto/auto-citroen-c3-1861080.html;19 776 $;538 500 грн;Київ;В наявності;"Бензин 1.2 л;Автомат;Передній привід;";Без живих фото
Citroen C5 Aircross 2021;https://auto.ria.com/newauto/auto-citroen-c5-aircross-1853724.html;30 606 $;833 400 грн;Київ;В наявності;"Дизель 2.0 л;Автомат;Передній привід;";Живі фото
Citroen C3 2021;https://auto.ria.com/newauto/auto-citroen-c3-1856660.html;15 446 $;420 590 грн;Запоріжжя;В наявності;"Бензин 1.2 л;Механічна;Передній привід;";Без живих фото
Citroen C5 Aircross 2020;https://auto.ria.com/newauto/auto-citroen-c5-aircross-1863334.html;32 555 $;886 480 грн;Херсон;В наявності;"Дизель 2.0 л;Автомат;Передній привід;";Без живих фото
Citroen Space Tourer 2021;https://auto.ria.com/newauto/auto-citroen-space-tourer-1825698.html;42 934 $;1 169 100 грн;Полтава;Перевірений VIN-код;"Дизель 2.0 л;Автомат;Передній привід;";Без живих фото
Citroen Berlingo пасс. 2020;https://auto.ria.com/newauto/auto-citroen-berlingo-pass-1861890.html;27 125 $;738 620 грн;Херсон;В наявності;"Дизель 1.5 л;Автомат;Передній привід;";Без живих фото
Citroen C3 Aircross 2021;https://auto.ria.com/newauto/auto-citroen-c3-aircross-1853570.html;21 116 $;21 972 $;Полтава;В наявності;"Бензин 1.2 л;Автомат;Передній привід;";Без живих фото
Citroen C-Elysee 2021;https://auto.ria.com/newauto/auto-citroen-c-elysee-1854211.html;16 882 $;459 700 грн;Полтава;Перевірений VIN-код;"Дизель 1.6 л;Механічна;Передній привід;";Без живих фото
Citroen Berlingo пасс. 2021;https://auto.ria.com/newauto/auto-citroen-berlingo-pass-1861737.html;20 242 $;551 200 грн;Полтава;Живі фото;"Дизель 1.6 л;Механічна;";Живі фото
Citroen Jumper груз. 2021;https://auto.ria.com/newauto/auto-citroen-jumper-gruz-1859553.html;33 177 $;903 400 грн;Херсон;В наявності;"Дизель 2.2 л;Механічна;Передній привід;";Без живих фото
Citroen C-Elysee 2020;https://auto.ria.com/newauto/auto-citroen-c-elysee-1848679.html;14 183 $;386 200 грн;Запоріжжя;В наявності;"Бензин 1.6 л;Механічна;Передній привід;";Без живих фото
Citroen C5 Aircross 2021;https://auto.ria.com/newauto/auto-citroen-c5-aircross-1863307.html;31 833 $;866 810 грн;Херсон;В наявності;"Дизель 2.0 л;Автомат;Передній привід;";Без живих фото
Citroen C-Elysee 2021;https://auto.ria.com/newauto/auto-citroen-c-elysee-1856661.html;15 509 $;422 300 грн;Запоріжжя;Перевірений VIN-код;"Бензин 1.6 л;Механічна;Передній привід;";Без живих фото
Citroen C3 Aircross 2021;https://auto.ria.com/newauto/auto-citroen-c3-aircross-1856659.html;24 903 $;678 110 грн;Запоріжжя;В наявності;"Бензин 1.2 л;Автомат;Передній привід;";Без живих фото
Citroen Berlingo пасс. 2021;https://auto.ria.com/newauto/auto-citroen-berlingo-pass-1859934.html;21 715 $;591 300 грн;Полтава;Перевірений VIN-код;"Дизель 1.6 л;Механічна;";Без живих фото
Citroen C5 Aircross 2021;https://auto.ria.com/newauto/auto-citroen-c5-aircross-1863306.html;32 022 $;871 950 грн;Херсон;В наявності;"Дизель 2.0 л;Автомат;Передній привід;";Без живих фото
Citroen Berlingo пасс. 2020;https://auto.ria.com/newauto/auto-citroen-berlingo-pass-1846184.html;28 055 $;763 940 грн;Запоріжжя;В наявності;"Дизель 1.5 л;Автомат;Передній привід;";Без живих фото
Citroen C-Elysee 2021;https://auto.ria.com/newauto/auto-citroen-c-elysee-1844454.html;17 231 $;469 200 грн;Херсон;В наявності;"Бензин 1.6 л;Автомат;Передній привід;";Без живих фото
Citroen Berlingo груз. 2021;https://auto.ria.com/newauto/auto-citroen-berlingo-gruz-1861524.html;19 724 $;537 100 грн;Херсон;В наявності;"Бензин 1.6 л;Механічна;Передній привід;";Без живих фото
Citroen Space Tourer 2021;https://auto.ria.com/newauto/auto-citroen-space-tourer-1825973.html;50 165 $;1 366 000 грн;Полтава;Перевірений VIN-код;"Дизель 2.0 л;Автомат;Передній привід;";Без живих фото
Citroen Berlingo пасс. 2021;https://auto.ria.com/newauto/auto-citroen-berlingo-pass-1853578.html;19 460 $;529 900 грн;Полтава;Перевірений VIN-код;"Дизель 1.6 л;Механічна;";Без живих фото
Citroen Berlingo груз. 2020;https://auto.ria.com/newauto/auto-citroen-berlingo-gruz-1853071.html;20 680 $;563 130 грн;Запоріжжя;Перевірений VIN-код;"Дизель 1.6 л;Механічна;Передній привід;";Без живих фото
Citroen C3 Aircross 2021;https://auto.ria.com/newauto/auto-citroen-c3-aircross-1853555.html;24 422 $;665 000 грн;Запоріжжя;Перевірений VIN-код;"Дизель 1.5 л;Автомат;Передній привід;";Без живих фото
Citroen C-Elysee 2020;https://auto.ria.com/newauto/auto-citroen-c-elysee-1852701.html;14 222 $;387 280 грн;Запоріжжя;Перевірений VIN-код;"Бензин 1.2 л;Механічна;Передній привід;";Без живих фото
Citroen Space Tourer 2021;https://auto.ria.com/newauto/auto-citroen-space-tourer-1825700.html;54 859 $;1 493 820 грн;Полтава;Перевірений VIN-код;"Дизель 2.0 л;Механічна;Повний привід;";Без живих фото
Citroen Space Tourer 2021;https://auto.ria.com/newauto/auto-citroen-space-tourer-1853554.html;44 851 $;1 221 300 грн;Полтава;Перевірений VIN-код;"Дизель 2.0 л;Автомат;Передній привід;";Без живих фото
Citroen C-Elysee 2021;https://auto.ria.com/newauto/auto-citroen-c-elysee-1854208.html;14 811 $;403 300 грн;Полтава;Перевірений VIN-код;"Бензин 1.6 л;Механічна;Передній привід;";Без живих фото
Citroen Space Tourer 2021;https://auto.ria.com/newauto/auto-citroen-space-tourer-1853552.html;35 130 $;956 600 грн;Полтава;Перевірений VIN-код;"Дизель 2.0 л;Механічна;Передній привід;";Без живих фото
Citroen Space Tourer 2021;https://auto.ria.com/newauto/auto-citroen-space-tourer-1847465.html;41 873 $;1 140 200 грн;Полтава;Перевірений VIN-код;"Дизель 2.0 л;Механічна;Передній привід;";Без живих фото
Citroen Berlingo пасс. 2021;https://auto.ria.com/newauto/auto-citroen-berlingo-pass-1853559.html;27 216 $;741 100 грн;Полтава;Перевірений VIN-код;"Дизель 1.5 л;Автомат;Передній привід;";Без живих фото
Citroen C4 2021;https://auto.ria.com/newauto/auto-citroen-c4-1861766.html;21 047 $;573 100 грн;Полтава;Перевірений VIN-код;"Бензин 1.2 л;Механічна;Передній привід;";Без живих фото
Citroen C-Elysee 2021;https://auto.ria.com/newauto/auto-citroen-c-elysee-1854207.html;14 179 $;386 100 грн;Полтава;Перевірений VIN-код;"Бензин 1.2 л;Механічна;Передній привід;";Без живих фото
Citroen C4 2021;https://auto.ria.com/newauto/auto-citroen-c4-1861772.html;27 091 $;737 700 грн;Полтава;Перевірений VIN-код;"Дизель 1.5 л;Автомат;Передній привід;";Без живих фото
Citroen C4 2021;https://auto.ria.com/newauto/auto-citroen-c4-1861769.html;25 622 $;697 700 грн;Полтава;Перевірений VIN-код;"Бензин 1.2 л;Автомат;Передній привід;";Без живих фото
Citroen C4 2021;https://auto.ria.com/newauto/auto-citroen-c4-1861767.html;23 419 $;637 700 грн;Полтава;Перевірений VIN-код;"Бензин 1.2 л;Автомат;Передній привід;";Без живих фото
Citroen C4 2021;https://auto.ria.com/newauto/auto-citroen-c4-1861765.html;18 601 $;506 500 грн;Полтава;Перевірений VIN-код;"Бензин 1.2 л;Механічна;Передній привід;";Без живих фото
Citroen C4 2021;https://auto.ria.com/newauto/auto-citroen-c4-1861771.html;24 892 $;677 800 грн;Полтава;Перевірений VIN-код;"Дизель 1.5 л;Автомат;Передній привід;";Без живих фото
Citroen Jumper груз. 2021;https://auto.ria.com/newauto/auto-citroen-jumper-gruz-1796556.html;52 361 $;1 425 800 грн;Полтава;Перевірений VIN-код;"Дизель 2.0 л;Механічна;Передній привід;";Без живих фото
Citroen Jumper груз. 2021;https://auto.ria.com/newauto/auto-citroen-jumper-gruz-1786912.html;50 044 $;1 362 700 грн;Полтава;Перевірений VIN-код;"Дизель 2.0 л;Механічна;Передній привід;";Без живих фото
Citroen Jumper пасс. 2021;https://auto.ria.com/newauto/auto-citroen-jumper-pass-1849403.html;37 392 $;1 018 200 грн;Полтава;Перевірений VIN-код;"Дизель 2.0 л;Механічна;Передній привід;";Без живих фото
Citroen Jumper груз. 2021;https://auto.ria.com/newauto/auto-citroen-jumper-gruz-1786913.html;51 781 $;1 410 000 грн;Полтава;Перевірений VIN-код;"Дизель 2.0 л;Механічна;Передній привід;";Без живих фото
Citroen C3 Aircross 2021;https://auto.ria.com/newauto/auto-citroen-c3-aircross-1853569.html;20 184 $;549 600 грн;Полтава;Перевірений VIN-код;"Дизель 1.6 л;Механічна;Передній привід;";Без живих фото
Citroen Berlingo пасс. 2021;https://auto.ria.com/newauto/auto-citroen-berlingo-pass-1863286.html;28 575 $;778 090 грн;Херсон;В наявності;"Дизель 1.5 л;Автомат;Передній привід;";Без живих фото
Citroen Jumper груз. 2021;https://auto.ria.com/newauto/auto-citroen-jumper-gruz-1796559.html;53 904 $;1 467 800 грн;Полтава;Перевірений VIN-код;"Дизель 2.0 л;Механічна;Передній привід;";Без живих фото
Citroen C3 Aircross 2021;https://auto.ria.com/newauto/auto-citroen-c3-aircross-1853571.html;23 896 $;650 700 грн;Полтава;Перевірений VIN-код;"Дизель 1.5 л;Автомат;Передній привід;";Без живих фото
Citroen Jumper пасс. 2021;https://auto.ria.com/newauto/auto-citroen-jumper-pass-1843702.html;34 271 $;933 200 грн;Полтава;Перевірений VIN-код;"Дизель 2.0 л;Механічна;Передній привід;";Без живих фото
Citroen C3 Aircross 2021;https://auto.ria.com/newauto/auto-citroen-c3-aircross-1853572.html;25 255 $;687 700 грн;Полтава;Перевірений VIN-код;"Дизель 1.5 л;Автомат;Передній привід;";Без живих фото
Citroen Jumper груз. 2021;https://auto.ria.com/newauto/auto-citroen-jumper-gruz-1853520.html;33 709 $;917 900 грн;Полтава;Перевірений VIN-код;"Дизель 2.0 л;Механічна;Передній привід;";Без живих фото
Citroen Jumper груз. 2021;https://auto.ria.com/newauto/auto-citroen-jumper-gruz-1853506.html;30 727 $;836 700 грн;Полтава;Перевірений VIN-код;"Дизель 2.0 л;Механічна;Передній привід;";Без живих фото
Citroen Jumper груз. 2021;https://auto.ria.com/newauto/auto-citroen-jumper-gruz-1853500.html;35 211 $;958 800 грн;Полтава;Перевірений VIN-код;"Дизель 2.0 л;Механічна;Передній привід;";Без живих фото
Citroen Jumpy груз. 2021;https://auto.ria.com/newauto/auto-citroen-jumpy-gruz-1853541.html;43 636 $;1 188 200 грн;Полтава;Перевірений VIN-код;"Дизель 2.0 л;Механічна;Повний привід;";Без живих фото
Citroen Jumper груз. 2021;https://auto.ria.com/newauto/auto-citroen-jumper-gruz-1853523.html;31 509 $;858 000 грн;Полтава;Перевірений VIN-код;"Дизель 2.0 л;Механічна;Передній привід;";Без живих фото
Citroen Jumper груз. 2021;https://auto.ria.com/newauto/auto-citroen-jumper-gruz-1853499.html;33 011 $;898 900 грн;Полтава;Перевірений VIN-код;"Дизель 2.0 л;Механічна;Передній привід;";Без живих фото
Citroen Jumper груз. 2021;https://auto.ria.com/newauto/auto-citroen-jumper-gruz-1853508.html;31 260 $;851 200 грн;Полтава;Перевірений VIN-код;"Дизель 2.0 л;Механічна;Передній привід;";Без живих фото
Citroen Jumpy груз. 2021;https://auto.ria.com/newauto/auto-citroen-jumpy-gruz-1853536.html;29 199 $;795 100 грн;Полтава;Перевірений VIN-код;"Дизель 2.0 л;Механічна;Передній привід;";Без живих фото
Citroen Jumper груз. 2021;https://auto.ria.com/newauto/auto-citroen-jumper-gruz-1830768.html;33 478 $;911 600 грн;Полтава;Перевірений VIN-код;"Дизель 2.0 л;Механічна;Передній привід;";Без живих фото
Citroen Jumper груз. 2021;https://auto.ria.com/newauto/auto-citroen-jumper-gruz-1853509.html;30 385 $;827 400 грн;Полтава;Перевірений VIN-код;"Дизель 2.0 л;Механічна;Передній привід;";Без живих фото
Citroen Jumper груз. 2021;https://auto.ria.com/newauto/auto-citroen-jumper-gruz-1853513.html;28 795 $;784 100 грн;Полтава;Перевірений VIN-код;"Дизель 2.0 л;Механічна;Передній привід;";Без живих фото
Citroen Jumpy груз. 2021;https://auto.ria.com/newauto/auto-citroen-jumpy-gruz-1853538.html;30 327 $;825 800 грн;Полтава;Перевірений VIN-код;"Дизель 2.0 л;Механічна;Передній привід;";Без живих фото
Citroen Jumper груз. 2021;https://auto.ria.com/newauto/auto-citroen-jumper-gruz-1853521.html;30 977 $;843 500 грн;Полтава;Перевірений VIN-код;"Дизель 2.0 л;Механічна;Передній привід;";Без живих фото
Citroen Jumper груз. 2021;https://auto.ria.com/newauto/auto-citroen-jumper-gruz-1853518.html;33 177 $;903 400 грн;Полтава;Перевірений VIN-код;"Дизель 2.0 л;Механічна;Передній привід;";Без живих фото
Citroen Jumper груз. 2021;https://auto.ria.com/newauto/auto-citroen-jumper-gruz-1853524.html;34 289 $;933 700 грн;Полтава;Перевірений VIN-код;"Дизель 2.0 л;Механічна;Передній привід;";Без живих фото
Citroen Jumper груз. 2021;https://auto.ria.com/newauto/auto-citroen-jumper-gruz-1853503.html;48 696 $;1 326 000 грн;Полтава;Перевірений VIN-код;"Дизель 2.0 л;Механічна;Повний привід;";Без живих фото
Citroen Jumper груз. 2021;https://auto.ria.com/newauto/auto-citroen-jumper-gruz-1853501.html;34 164 $;930 300 грн;Полтава;Перевірений VIN-код;"Дизель 2.0 л;Механічна;Передній привід;";Без живих фото
Citroen Jumper груз. 2021;https://auto.ria.com/newauto/auto-citroen-jumper-gruz-1830767.html;31 160 $;848 500 грн;Полтава;Перевірений VIN-код;"Дизель 2.0 л;Механічна;Передній привід;";Без живих фото
Citroen Jumpy груз. 2021;https://auto.ria.com/newauto/auto-citroen-jumpy-gruz-1853537.html;31 410 $;855 300 грн;Полтава;Перевірений VIN-код;"Дизель 2.0 л;Механічна;Передній привід;";Без живих фото
Citroen Jumper груз. 2021;https://auto.ria.com/newauto/auto-citroen-jumper-gruz-1853531.html;44 928 $;1 223 400 грн;Полтава;Перевірений VIN-код;"Дизель 2.0 л;Механічна;Повний привід;";Без живих фото
Citroen Jumper груз. 2021;https://auto.ria.com/newauto/auto-citroen-jumper-gruz-1853504.html;47 543 $;1 294 600 грн;Полтава;Перевірений VIN-код;"Дизель 2.0 л;Механічна;Повний привід;";Без живих фото
Citroen Jumpy груз. 2021;https://auto.ria.com/newauto/auto-citroen-jumpy-gruz-1853539.html;32 538 $;886 000 грн;Полтава;Перевірений VIN-код;"Дизель 2.0 л;Механічна;Передній привід;";Без живих фото
Citroen Jumper груз. 2021;https://auto.ria.com/newauto/auto-citroen-jumper-gruz-1853529.html;43 327 $;1 179 800 грн;Полтава;Перевірений VIN-код;"Дизель 2.0 л;Механічна;Повний привід;";Без живих фото
Citroen Jumper груз. 2021;https://auto.ria.com/newauto/auto-citroen-jumper-gruz-1853510.html;32 508 $;885 200 грн;Полтава;Перевірений VIN-код;"Дизель 2.0 л;Механічна;Передній привід;";Без живих фото
Citroen Jumper груз. 2021;https://auto.ria.com/newauto/auto-citroen-jumper-gruz-1853522.html;33 757 $;919 200 грн;Полтава;Перевірений VIN-код;"Дизель 2.0 л;Механічна;Передній привід;";Без живих фото
Citroen Jumper груз. 2021;https://auto.ria.com/newauto/auto-citroen-jumper-gruz-1825640.html;45 685 $;1 244 000 грн;Полтава;Перевірений VIN-код;"Дизель 2.0 л;Механічна;Повний привід;";Без живих фото
Citroen Jumper груз. 2021;https://auto.ria.com/newauto/auto-citroen-jumper-gruz-1853526.html;34 172 $;930 500 грн;Полтава;Перевірений VIN-код;"Дизель 2.0 л;Механічна;Передній привід;";Без живих фото
Citroen Jumper груз. 2021;https://auto.ria.com/newauto/auto-citroen-jumper-gruz-1853533.html;45 508 $;1 239 200 грн;Полтава;Перевірений VIN-код;"Дизель 2.0 л;Механічна;Повний привід;";Без живих фото
Citroen Jumper груз. 2021;https://auto.ria.com/newauto/auto-citroen-jumper-gruz-1853505.html;28 410 $;773 600 грн;Полтава;Перевірений VIN-код;"Дизель 2.0 л;Механічна;Передній привід;";Без живих фото
Citroen Jumper груз. 2021;https://auto.ria.com/newauto/auto-citroen-jumper-gruz-1853502.html;36 364 $;990 200 грн;Полтава;Перевірений VIN-код;"Дизель 2.0 л;Механічна;Передній привід;";Без живих фото
Citroen Jumper груз. 2021;https://auto.ria.com/newauto/auto-citroen-jumper-gruz-1853527.html;32 273 $;878 800 грн;Полтава;Перевірений VIN-код;"Дизель 2.0 л;Механічна;Передній привід;";Без живих фото
Citroen Jumper груз. 2021;https://auto.ria.com/newauto/auto-citroen-jumper-gruz-1853516.html;32 644 $;888 900 грн;Полтава;Перевірений VIN-код;"Дизель 2.2 л;Механічна;Передній привід;";Без живих фото
Citroen Jumper груз. 2021;https://auto.ria.com/newauto/auto-citroen-jumper-gruz-1853511.html;43 474 $;1 183 800 грн;Полтава;Перевірений VIN-код;"Дизель 2.0 л;Механічна;Повний привід;";Без живих фото
Citroen Jumper груз. 2021;https://auto.ria.com/newauto/auto-citroen-jumper-gruz-1853525.html;31 741 $;864 300 грн;Полтава;Перевірений VIN-код;"Дизель 2.0 л;Механічна;Передній привід;";Без живих фото
Citroen Jumper груз. 2021;https://auto.ria.com/newauto/auto-citroen-jumper-gruz-1853528.html;34 704 $;945 000 грн;Полтава;Перевірений VIN-код;"Дизель 2.0 л;Механічна;Передній привід;";Без живих фото
Citroen Jumper груз. 2021;https://auto.ria.com/newauto/auto-citroen-jumper-gruz-1853532.html;45 461 $;1 237 900 грн;Полтава;Перевірений VIN-код;"Дизель 2.0 л;Механічна;Повний привід;";Без живих фото
Citroen Jumper груз. 2021;https://auto.ria.com/newauto/auto-citroen-jumper-gruz-1853519.html;30 929 $;842 200 грн;Полтава;Перевірений VIN-код;"Дизель 2.0 л;Механічна;Передній привід;";Без живих фото
Citroen Jumper груз. 2021;https://auto.ria.com/newauto/auto-citroen-jumper-gruz-1853530.html;44 396 $;1 208 900 грн;Полтава;Перевірений VIN-код;"Дизель 2.2 л;Механічна;Повний привід;";Без живих фото
Citroen Jumper груз. 2021;https://auto.ria.com/newauto/auto-citroen-jumper-gruz-1853514.html;31 575 $;859 800 грн;Полтава;Перевірений VIN-код;"Дизель 2.0 л;Механічна;Передній привід;";Без живих фото
Citroen Jumper груз. 2021;https://auto.ria.com/newauto/auto-citroen-jumper-gruz-1853507.html;28 942 $;788 100 грн;Полтава;Перевірений VIN-код;"Дизель 2.0 л;Механічна;Передній привід;";Без живих фото
Citroen Jumper груз. 2021;https://auto.ria.com/newauto/auto-citroen-jumper-gruz-1853517.html;30 397 $;827 700 грн;Полтава;Перевірений VIN-код;"Дизель 2.0 л;Механічна;Передній привід;";Без живих фото
Citroen Jumpy груз. 2021;https://auto.ria.com/newauto/auto-citroen-jumpy-gruz-1853540.html;42 512 $;1 157 600 грн;Полтава;Перевірений VIN-код;"Дизель 2.0 л;Механічна;Повний привід;";Без живих фото
Citroen Jumper груз. 2021;https://auto.ria.com/newauto/auto-citroen-jumper-gruz-1853515.html;29 864 $;813 200 грн;Полтава;Перевірений VIN-код;"Дизель 2.2 л;Механічна;Передній привід;";Без живих фото
Citroen Jumper груз. 2021;https://auto.ria.com/newauto/auto-citroen-jumper-gruz-1853534.html;46 041 $;1 253 700 грн;Полтава;Перевірений VIN-код;"Дизель 2.0 л;Механічна;Повний привід;";Без живих фото
Citroen Jumper груз. 2021;https://auto.ria.com/newauto/auto-citroen-jumper-gruz-1786909.html;49 368 $;1 344 300 грн;Полтава;Перевірений VIN-код;"Дизель 2.0 л;Механічна;Передній привід;";Без живих фото
Citroen Jumper груз. 2021;https://auto.ria.com/newauto/auto-citroen-jumper-gruz-1796554.html;51 685 $;1 407 400 грн;Полтава;Перевірений VIN-код;"Дизель 2.0 л;Механічна;Передній привід;";Без живих фото
Citroen Berlingo пасс. 2021;https://auto.ria.com/newauto/auto-citroen-berlingo-pass-1861525.html;20 832 $;567 250 грн;Херсон;В наявності;"Дизель 1.6 л;Механічна;";Без живих фото
Citroen C-Elysee 2020;https://auto.ria.com/newauto/auto-citroen-c-elysee-1853074.html;14 183 $;386 200 грн;Запоріжжя;В наявності;"Бензин 1.6 л;Механічна;Передній привід;";Без живих фото
Citroen Berlingo пасс. 2021;https://auto.ria.com/newauto/auto-citroen-berlingo-pass-1853580.html;27 437 $;747 100 грн;Полтава;Перевірений VIN-код;"Дизель 1.5 л;Автомат;Передній привід;";Без живих фото
Citroen C-Elysee 2021;https://auto.ria.com/newauto/auto-citroen-c-elysee-1854209.html;16 537 $;450 300 грн;Полтава;Перевірений VIN-код;"Бензин 1.6 л;Автомат;Передній привід;";Без живих фото
Citroen C-Elysee 2021;https://auto.ria.com/newauto/auto-citroen-c-elysee-1854212.html;19 427 $;529 000 грн;Полтава;Перевірений VIN-код;"Дизель 1.6 л;Механічна;Передній привід;";Без живих фото
Citroen Berlingo пасс. 2021;https://auto.ria.com/newauto/auto-citroen-berlingo-pass-1853581.html;26 860 $;731 400 грн;Полтава;Перевірений VIN-код;"Дизель 1.5 л;Автомат;Передній привід;";Без живих фото
Citroen Berlingo пасс. 2021;https://auto.ria.com/newauto/auto-citroen-berlingo-pass-1852323.html;25 806 $;702 700 грн;Полтава;Перевірений VIN-код;"Дизель 1.5 л;Автомат;Передній привід;";Без живих фото
Citroen C-Elysee 2021;https://auto.ria.com/newauto/auto-citroen-c-elysee-1854210.html;17 734 $;482 900 грн;Полтава;Перевірений VIN-код;"Бензин 1.6 л;Автомат;Передній привід;";Без живих фото
Citroen Space Tourer 2021;https://auto.ria.com/newauto/auto-citroen-space-tourer-1864006.html;44 828 $;1 220 660 грн;Київ;В наявності;"Дизель 2.0 л;Автомат;Передній привід;";Живі фото
Citroen C5 Aircross 2020;https://auto.ria.com/newauto/auto-citroen-c5-aircross-1863075.html;30 157 $;821 180 грн;Київ;В наявності;"Дизель 2.0 л;Автомат;Передній привід;";Живі фото
