nazwa firmy;adres;www;email;telefony;branże
TaxCoach Sp. z o.o.;ul. Wierzbięcice 44a/40a61-568 Poznań - Wilda;taxcoach.pl;None;['kom. 603 302 112'];['Biura rachunkowe, doradztwo podatkowe']
TAXPLAN Sp. z o.o. (w trakcie zmiany na Taxperience Sp. z o.o.);ul. Grzybowska 2/2400-131 Warszawa;www.taxperience.pl;None;['tel. (22) 417 34 63', 'tel. (22) 299 09 17', 'fax (22) 417 34 51', 'kom. 663 021 448', 'kom. 724 440 693'];['Biura rachunkowe, doradztwo podatkowe']
Time4Tax;ul. Sokratesa 11b01-909 Warszawa - Bielany;www.time4tax.pl;None;['kom. 796 233 247'];['Biura rachunkowe, doradztwo podatkowe']
TOP PROFIT-Usługi Finansowo-Księgowe;ul. Zagłoby 1905-200 Wołomin;www.topprofit.com.pl;None;['kom. 609 604 238', 'kom. 695 678 119'];['Biura rachunkowe, doradztwo podatkowe']
Trinity Corporate Services Sp. z o.o.;ul. Towarowa 2800-839 Warszawa - Wola;www.trinitycs.com;None;['tel. (22) 379 94 40', 'fax (22) 379 94 41'];['Biura rachunkowe, doradztwo podatkowe']
TSR-Twoja Strefa Rozwoju BMP Sp. z o.o.;ul. św. Floriana 11/233-190 Ciężkowice;www.tsr.edu.pl;None;['kom. 534 511 422', 'kom. 606 424 737', 'kom. 795 971 004', 'kom. 606 424 737', 'kom. 795 971 004'];['Biura rachunkowe, doradztwo podatkowe', 'Szkolenia, kursy', 'Szkoły językowe']
TWOJE KSIĘGOWE Biuro Rachunkowe;plac Solidarności 1/3/5/50753-661 Wrocław - Stare Miasto;www.twojeksiegowe.pl;None;['tel. (71) 793 84 41', 'fax (71) 793 84 40', 'kom. 668 413 917', 'kom. 601 300 145'];['Biura rachunkowe, doradztwo podatkowe']
TWÓJ KSIEGOWY Zdzisław Olbrycht;ul. Logi 17/2b60-134 Poznań - Grunwald;www.twojksiegowy.poznan.pl;None;['tel. (61) 661 59 00'];['Biura rachunkowe, doradztwo podatkowe']
Unimediator;Aleja Legionów 4418-400 Łomża;www.unimediator.pl;None;['tel. (86) 216 69 61', 'fax (86) 218 16 58'];['Biura rachunkowe, doradztwo podatkowe', 'Kredyty']
Usługi Księgowe Ewa Miszczak;ul. Ołówkowa 905-800 Pruszków;www.ewamiszczak.pl;None;['tel./fax (22) 758 27 70', 'kom. 604 267 502'];['Biura rachunkowe, doradztwo podatkowe']
Usługi Księgowe Marek Milewski;al. 3 Maja 37c/2076-200 Słupsk;www.ksiegowosc-milewski.pl;None;['kom. 600 129 672'];['Biura rachunkowe, doradztwo podatkowe']
Usługi Księgowe mgr Agnieszka Gryziecka;Skawa 7b34-713 Skawa;www.biuro.rachunkowe.rabka-net.pl;None;['tel. (18) 267 61 12'];['Biura rachunkowe, doradztwo podatkowe']
Usługi Księgowe NEWTAX Artur Noworyta;Filipowice 45832-065 Krzeszowice;www.newtax.pl;None;['kom. 519 773 135'];['Biura rachunkowe, doradztwo podatkowe']
Usługi Księgowe Tomasz Syktus;ul. Fabryczna 2534-600 Limanowa;www.syktus-ksiegowosc.pl;None;['kom. 506 641 292'];['Biura rachunkowe, doradztwo podatkowe']
Usługi Księgowe, Doradztwo Podatkowe Marek Wcisło;osiedle Jagiellońskie 1/1531-832 Kraków;www.wksiegowy.pl;None;['tel. (12) 648 61 52', 'fax (12) 376 84 20', 'kom. 505 952 316'];['Biura rachunkowe, doradztwo podatkowe']
Usługowe Prowadzenie Ewidencji Do Celów Podatkowych mgr Anna Spych;ul. Słowackiego 666-235 Torzym;www.geospych.pl;None;['tel./fax (68) 341 33 44', 'kom. 600 277 746'];['Biura rachunkowe, doradztwo podatkowe', 'Geodezja, plany, mapy']
VEXAL Biuro Rachunkowe;ul. Podwiejska 1705-822 Milanówek;www.vexal.pl;None;['kom. 507 089 350'];['Biura rachunkowe, doradztwo podatkowe']
Viola Violetta Mazaurek;ul. Derdowskiego 871-178 Szczecin;www.twoje-biuro.com.pl;None;['tel./fax (91) 453 00 35', 'kom. 696 477 730', 'kom. 505 955 018'];['Biura rachunkowe, doradztwo podatkowe']
Virdis Lux Biuro Rachunkowe Wołomin;ul. Cicha 3305-200 Wołomin;www.virdislux.pl;None;['tel. (22) 787 95 88'];['Biura rachunkowe, doradztwo podatkowe']
WILWOR GROUP Sp. z o.o. Sp.komandytowa;aleja Niepodległości 138/602-554 Warszawa - Mokotów;www.wilwor.pl;None;['tel. (22) 646 46 40'];['Biura rachunkowe, doradztwo podatkowe', 'Outsourcing', 'Ubezpieczenia']
WiMa Biuro Rachunkowe;ul. Traugutta 12971-300 Szczecin;wima.szczecin.pl;None;['tel. (91) 486 29 01', 'fax (91) 486 29 99', 'kom. 500 264 465'];['Biura rachunkowe, doradztwo podatkowe']
Zbigniew Sylwestrowicz Doradca Podatkowy;ul. Gustawa Morcinka 18f/867-200 Głogów;None;None;['tel. (76) 742 53 38'];['Biura rachunkowe, doradztwo podatkowe']
ZIT Sp. z o.o.;ul. Kościuszki 27a85-079 Bydgoszcz;www.zit.pl;None;['tel. (52) 321 01 97', 'tel./fax (52) 345 73 23'];['Biura rachunkowe, doradztwo podatkowe']
B.W. Partner Sp. z o.o.;ul. Piwna 1499-300 Kutno;www.bwpartner.pl;None;['tel./fax (24) 254 80 81'];['Mediacje', 'Biura rachunkowe, doradztwo podatkowe', 'Doradztwo']
Biuro Doradcze EBIT S.c.;ul. Zamojska 480-180 Gdańsk;www.biuroebit.com.pl;None;['tel./fax (58) 304 79 49', 'kom. 603 500 742'];['Finansowe usługi', 'Biura rachunkowe, doradztwo podatkowe']
Euro-Serwis Anna Wierzchałek;aleja Wincentego Witosa 1335-115 Rzeszów;www.euroserwis.auto.pl;None;['tel. (17) 856 89 55', 'kom. 691 103 190'];['Warsztaty samochodowe, autoryzowane serwisy', 'Opony, felgi', 'Biura rachunkowe, doradztwo podatkowe']
Euro-Tax.pl Zwrot Podatku S.A.;ul. Sikorskiego 2-853-659 Wrocław - Stare Miasto;www.euro-tax.pl;None;['tel. (71) 799 06 00', 'tel. (71) 774 68 20'];['Finansowe usługi', 'Biura rachunkowe, doradztwo podatkowe']
Europejska Platforma Edukacyjna Sp. z o.o.;ul. Północna 22a20-064 Lublin;www.e-p-e.pl;None;['tel. (81) 532 84 14', 'tel./fax (81) 534 35 50'];['Szkolenia, kursy', 'Biura rachunkowe, doradztwo podatkowe']
Grupa Firm Doradczych KZWS Poznań;ul. Stary Rynek 38-3961-772 Poznań - Stare Miasto;www.kzws.pl;None;['tel. (61) 851 57 66', 'tel. (61) 850 17 84', 'tel. (61) 856 01 25', 'fax (61) 851 57 86'];['Doradztwo', 'Kancelarie radców prawnych', 'Biura rachunkowe, doradztwo podatkowe']
Kancelaria GOLDENSTEIN;ul. Grodzka 20/470-560 Szczecin;www.goldenstein.pl;None;['tel. (91) 488 02 78', 'tel./fax (91) 886 50 66'];['Kancelarie radców prawnych', 'Biura rachunkowe, doradztwo podatkowe']
Kancelaria Gospodarcza;ul. Bosa 4/6/2460-397 Poznań - Grunwald;www.kancelariagospodarcza.eu;None;['kom. 616 633 227', 'infolinia 0801 066 506'];['Doradztwo', 'Biura rachunkowe, doradztwo podatkowe']
Kancelaria Księgowo-Podatkowa Marzena Gezler;ul. Zamkowa 49a43-502 Czechowice-Dziedzice;www.kkp-gezler.pl;None;['kom. 602 849 708'];['Kancelarie radców prawnych', 'Biura rachunkowe, doradztwo podatkowe']
Krajowe Centrum Zarządzania i Doradztwa Finansowego Sp. z o.o.;ul. Żniwna 12a61-663 Poznań - Stare Miasto;www.kczidf.pl;None;['tel. (061) 665 45 60', 'fax (061) 665 45 68'];['Doradztwo', 'Biura rachunkowe, doradztwo podatkowe']
PIOTROWSKI Kancelaria Doradcy Podatkowego;ul. Marszałka Focha 485-070 Bydgoszcz;www.kancelariapiotrowski.pl;None;['tel. (52) 583 33 33', 'tel. (52) 583 33 34', 'kom. 796 102 102', 'kom. 796 103 103'];['Kancelarie radców prawnych', 'Biura rachunkowe, doradztwo podatkowe']
Twoje Biuro Małgorzata Dulęba;ul. Domaniewska 17/19/13302-663 Warszawa;www.twojebiuro.waw.pl;None;['tel. (22) 843 96 87', 'kom. 698 841 266'];['Wirtualne biura', 'Biura rachunkowe, doradztwo podatkowe']
CATERING-PASJA;ul. Warszawska 7505-300 Stojadła;www.pasja-catering.pl;biuro@pasja-catering.pl;['kom. 692 702 904', 'kom. 510 026 681'];['Catering']
DIATTA Sp. z o.o.;ul. Arabska 703-977 Warszawa - Mokotów;www.diatta.pl;info@diatta.pl;['kom. 608 607 850'];['Catering']
Firma Cateringowa ALBOR;ul. Piersna 22/267-221 Białołęka;www.albor-ab.pl;domweselnyalicja@wp.pl;['kom. 781 466 533', 'kom. 512 076 996'];['Catering', 'Sale i domy weselne', 'Przyjęcia okolicznościowe']
Fundacja CONTIGO Zakład Aktywności Zawodowej;Wola Dalsza 365a37-100 Łańcut;www.zazcontigo.pl;zaz.contigo@WP-P‘;['tel. (17) 247 20 50'];['Catering', 'Pokoje gościnne, domki letniskowe', 'Przyjęcia okolicznościowe']
P.P.H.U. MIWA;ul. Szczytnowska 1204-812 Warszawa - Wawer;www.miwa-ryba.pl;biuro@miwa-ryba.pl;['tel./fax (22) 615 70 55', 'kom. 500 201 562 zamówienia'];['Catering', 'Wyroby garmażeryjne']
Przedsiębiorstwo Produkcyjno-Handlowo-Usługowe KASIA Sp. z o.o.;ul. Nadwiślańska 127-620 Dwikozy;www.kasiadwikozy.pl;biuro@kasiadwikozy.pl;['tel. (15) 831 24 51', 'tel. (15) 831 15 13', 'tel./fax (15) 831 24 52'];['Catering']
Agencja Handlowa Limba - Catering;ul. Wolności 1063-400 Ostrów Wielkopolski;www.limbacatering.pl;biuro@limbacatering.pl;['tel. (62) 735 78 78', 'kom. 601 828 232'];['Catering', 'Przyjęcia okolicznościowe']
Restauracja Kuchnia Rosyjska Aleksandra Sp. z o.o.;ul. Długi Targ 1180-958 Gdańsk;www.kuchnia-rosyjska.aleks.pl;catering@aleks.pl;['tel. (58) 301 27 35', 'tel./fax (58) 301 88 45'];['Catering', 'Restauracje, bary, puby']
Zakład Aktywności Zawodowej CENTRALNA KUCHNIA;ul. Broniewskiego 273-110 Stargard;www.centralnakuchnia.pl;sekretariatQscentralnakuchnia.pl;['tel. (91) 577 54 47'];['Catering', 'Kawa i herbata', 'Projektowanie, zakładanie ogrodów']
.KATERING Dominika Tlałka;ul. Grunwaldzka 534-300 Żywiec;www.catering-zywiec.pl;dominika_wt@wp.pl;['tel. (33) 861 02 79'];['Catering']
APETYT ROŚNIE na NOWO Iwona Guszpit;aleja Krakowska 3505-090 Raszyn;www.apetytrosnie.pl;nanowo@apetytrosnie.pl;['kom. 733 700 088', 'kom. 733 700 055', 'kom. 733 700 022'];['Catering', 'Wyroby garmażeryjne']
ART MENU;ul. Harcerzy Września 1939r. 540-659 Katowice;www.artmenu.pl;poczta@artmenu.pl;['tel. (32) 252 09 98', 'kom. 512 904 561', 'kom. 501 771 572'];['Catering', 'Restauracje, bary, puby', 'Hotele, motele, hostele']
ATENA Catering;ul. Starobielska 1043-300 Bielsko-Biała;www.domoweobiady.bielsko.pl;None;['tel. (33) 488 30 10', 'kom. 509 736 957'];['Catering']
Catering GALICJA Ewelina Zamorska;ul. Godowa 331G38-100 Strzyżów;www.catering.strzyzow.pl;catering.strzyzow@onet.eu;['kom. 692 093 196'];['Catering']
CATERING GASTON;ul. Reja 3/502-053 Warszawa - Ochota;www.gastoncatering.pl;biuro@gastoncatering.pl;['kom. 602 311 971', 'kom. 606 253 867'];['Catering']
Dieta na 5!;ul. Sienkiewicza 11742-583 Bobrowniki;www.dietana5.pl;info@dietana5.pl;['kom. 608 555 555'];['Catering']
Frykas Catering;ul. Probostwo 11 lok.120-089 Lublin;www.frykaslublin.pl;frykas.lublin@wp.pl;['tel./fax (81) 446 75 05', 'tel./fax (81) 446 75 06'];['Catering']
Gourmet - Wiatrowski Grzegorz;ul. Krakowska 5450-425 Wrocław - Fabryczna;www.wiatrowski.com.pl;biuro@wiatrowski.com.pl;['tel. (71) 347 22 03', 'tel. (71) 347 22 00', 'kom. 601 977 783 Grzegorz', 'kom. 691 848 048 Jola'];['Catering', 'Przyjęcia okolicznościowe']
Karczma BIDA;ul. Wyzwolenia32-329 Bolesław;www.karczmabida.com;biuro@pankowski.com.pl;['tel. (32) 654 90 79', 'kom. 666 054 052'];['Catering', 'Przyjęcia okolicznościowe']
Szalony Kurczak;ul. Krakowska 4542-200 Częstochowa;www.szalonykurczak.pl;lzuchowski.chef@gmail.com;['tel. (34) 368 28 28'];['Catering']
JAJKO Bistro & Cafe;aleja Niepodległości 16202-554 Warszawa - Mokotów;jajko.co;None;['kom. 792 717 000'];['Restauracje, bary, puby', 'Catering']
PORCJA ZDROWIA Poradnia i Catering Dietetyczny mgr Julita Dudicz;ul. Mickiewicza 27/217-100 Bielsk Podlaski;www.porcjazdrowia.org;None;['kom. 507 567 028'];['Dietetyka, odchudzanie', 'Catering', 'Przychodnie, poradnie, gabinety lekarskie', 'Szkolenia, kursy', 'Opieka medyczna', 'Medycyna naturalna', 'Psychologia, psychoterapia', 'Fitness']
Get Fit Catering;ul. Ołówkowa 1a/1005-800 Pruszków;getfit.waw.pl;None;['kom. 790 757 157'];['Catering']
ART-CATERING;ul. Panny Marii 461-108 Poznań - Nowe Miasto;www.art-catering.com.pl;None;['kom. 602 186 039'];['Catering']
AWOKADO;osiedle Sikorskiego 1028-100 Busko-Zdrój;www.awokadobusko.pl;None;['kom. 730 735 535'];['Catering']
BAKAMI CATERING Barbara Juzwiszyn-Wrona;ul. Waryńskiego 2057-200 Ząbkowice Śląskie;www.bakami.pl;None;['tel. (74) 816 22 83', 'kom. 604 648 807'];['Catering']
Bellisima Catering;wybrzeże Helskie 1/503-459 Warszawa - Praga Północ;www.bellisima.waw.pl;None;['kom. 608 552 336', 'kom. 883 868 118'];['Catering']
CALIPSO CATERING;ul. Wierzbowa 2a30-311 Kraków;www.calipso-catering.pl;None;['tel. (12) 357 50 14', 'kom. 509 482 226', 'kom. 503 187 531'];['Catering']
Catering BLAUT;ul. Moniuszki 641-902 Bytom;www.cateringblaut.pl;None;['tel./fax (32) 282 55 97'];['Catering', 'Restauracje, bary, puby']
Catering Dietetyczny Dietykieta;ul. Pawia 40e/252-235 Wrocław - Krzyki;dietykieta.pl;None;['kom. 570 819 305'];['Catering']
Catering KĄSEK;ul. Międzyleska 2-450-514 Wrocław - Krzyki;www.kasek.pl;None;['tel. (71) 367 02 99', 'kom. 691 368 335'];['Catering']
Catering LAURA;al. Powstańców Wielkopolskich 16264-920 Piła;www.cateringlaura.pl;None;['kom. 602 362 277', 'fax (67) 351 60 69'];['Catering']
Catering Rancho;ul. Okrężna 9, Pigża87-152 Łubianka;www.ranchocatering.pl;None;['kom. 606 101 007'];['Catering']
CATERING ROMA;ul. Słowackiego 1841-710 Ruda Śląska;www.cateringroma-net.pl;None;['tel. (32) 248 88 88'];['Catering', 'Restauracje, bary, puby']
Catering Ze Smakiem - BAZAR;ul. Bednarska 743-200 Pszczyna;www.catering-zesmakiem.pl;None;['kom. 664 368 828', 'kom. 698 713 703'];['Catering']
Cud i Miód Catering;ul. Naramowicka 9261-619 Poznań - Stare Miasto;www.cudimiod.pl;None;['kom. 515 751 003'];['Catering']
CZEKOLADOWE DOZNANIA;ul. Myśliwska 1644-203 Rybnik;www.czekoladowedoznania.pl;None;['kom. 507 462 099', 'tel. (32) 458 44 33'];['Catering']
DELICJA Kompleksowe Usługi Kateringowe;Kobylanka 56438-303 Kobylanka;www.delicjagorlice.pl;None;['kom. 660 726 127', 'kom. 519 698 984'];['Catering']
Domare Catering;ul. Westerplatte 14b33-100 Tarnów;www.domare.pl;None;['kom. 697 622 599'];['Catering']
EVERFRESH Kamil Cwyl;ul. Zakole 1105-090 Raszyn Rybie;www.everfresh.pl;None;['kom. 607 347 375', 'kom. 601 355 637'];['Catering']
F.H.U. TEŻET;ul. Krzysztofa Kolumba 8670-035 Szczecin;www.eurobistro.pl;None;['kom. 504 181 046'];['Catering']
F.H.U. Tomasz Gawarzewski;ul. Krokusowa 4/263-004 Tulce;www.wlkpczekoladowefontanny.pl;None;['kom. 791 989 910'];['Catering']
FHU Katering GALICJANKA;ul. Lipowa 6537-716 Orły;www.katering-galicjanka.pl;None;['kom. 513 157 908'];['Catering']
Filipcio Catering;ul. Lotha 376-200 Słupsk;www.filipciocatering.pl;None;['tel. (59) 844 00 00'];['Catering']
Firma Cateringowa W.W. Jolanta Rogulska;ul. Krasińskiego 38C/6101-779 Warszawa - Żoliborz;cateringww.com;None;['tel./fax (22) 739 80 28', 'kom. 505 980 797'];['Catering']
Firma Gastronomiczno-Handlowa TES;ul. Wielicka 26530-663 Kraków;www.cateringtes.eu;None;['kom. 601 485 055', 'tel. (12) 657 54 54'];['Catering']
Firma Produkcyjno-Handlowo-Usługowa Ewa Kruczek;Zabłędza 58b33-170 Tuchów;www.bar-zabledza.pl;None;['tel. (14) 652 26 12'];['Catering', 'Przyjęcia okolicznościowe']
FPHU KOCIOŁEK;ul. Okrzei 1238-400 Krosno;www.goracykociolek.pl;None;['tel. (13) 494 02 64', 'kom. 604 407 754'];['Catering']
GASTRO GROUP Catering;ul. 3 Maja 805-800 Pruszków;www.gastrogroup.pl;None;['tel. (22) 738 36 89', 'kom. 510 388 960'];['Catering']
Healthy Way;ul. Gen. Hallera 2a84-120 Władysławowo;www.healthy-way.pl;None;['kom. 507 777 452'];['Catering']
JakJesc.pl - Catering Dietetyczny;ul. Czajkowskiego 12051-147 Wrocław - Psie Pole;www.jakjesc.pl;None;['kom. 504 566 955', 'kom. 510 510 905'];['Catering']
Kawiarnia MOGADOR;ul. Morcinka 867-210 Głogów;www.mogador.pl;None;['tel. (76) 833 33 20', 'kom. 608 553 549'];['Catering']
KUCHARZ GASTRONOM S.c.;ul. Wolności 9742-674 Zbrosławice;www.kucharzgastronom.eu;None;['tel. (32) 790 79 72', 'kom. 660 559 862'];['Catering', 'Przyjęcia okolicznościowe']
Kulinaria Weselna ABSURD;ul. Ogrodowa 86/8141-250 Czeladź;www.wesela.czeladz.pl;None;['tel. (32) 265 01 40', 'kom. 512 281 730'];['Catering']
Mag-Dan Majewska Sp.j.;ul. Limanowskiego 194/19691-027 Łódź - Bałuty;www.mag-dan.pl;None;['tel. (42) 653 88 27', 'kom. 692 351 218'];['Catering']
Mała Gastronomia U ROBERTA Robert Pastuszko;ul. Świętokrzyska 2025-406 Kielce;www.dobre-obiady.pl;None;['kom. 530 705 530'];['Catering']
MARCEPAN Firma Cateringowa;Pleśna 40533-171 Pleśna;www.catering-marcepan.pl;None;['tel. (14) 679 87 99', 'kom. 606 465 410'];['Catering']
Markus PHU Józef Kusy;ul. Głęboka 5443-400 Cieszyn;www.mokka-cafe.pl;None;['kom. 882 117 474'];['Catering', 'Kawiarnie, herbaciarnie', 'Kawa i herbata']
MEGALO Sp.j.;osiedle Chemików 11/332-566 Alwernia;www.megalocatering.pl;None;['kom. 502 668 725', 'kom. 502 668 912'];['Catering']
METRO S.c. R. Cydyło i S. Iwaszko;ul. Sikorskiego 2166-400 Gorzów Wielkopolski;None;None;['tel. (95) 722 63 65'];['Catering']
MODERN CATERING;ul. Żółkiewskiego 26/331-539 Kraków - Śródmieście;cateringkrakow.pl;None;['kom. 884 906 747', 'kom. 509 675 745'];['Catering']
ObiadyBiurowe.pl;ul. Bulwar Ikara 18-2054-130 Wrocław;www.obiadybiurowe.pl;None;['kom. 787 484 306', 'kom. 531 222 200'];['Catering']
P.P.H.U. JUTAKO Kazimierz Rezik;plac Wolności 343-502 Czechowice-Dziedzice;www.jutako.pl;None;['tel./fax (32) 736 04 09', 'kom. 515 088 901', 'kom. 601 391 758', 'kom. 603 887 657', 'tel. (32) 736 04 04'];['Catering']
P.P.H.U. SŁAWIANKA;ul. Wielbarska 1312-100 Szczytno;www.slawianka-szczytno.pl;None;['tel. (89) 624 02 09'];['Catering']
PHU Klimat;ul. Boryńska 7144-240 Żory;www.klimat.zory.com.pl;None;['tel. (32) 435 73 96', 'kom. 503 029 344', 'kom. 609 283 251'];['Catering', 'Gastronomiczny sprzęt, wyposażenie', 'Sale i domy weselne']
Restauracja La Stazione;ul. 3 Maja 1542-300 Myszków;www.lastazione.pl;None;['tel. (34) 315 90 70'];['Catering', 'Pizzerie', 'Restauracje, bary, puby']
RETTMAN Sp. z o.o. Sp.komandytowa;ul. Różana 5/953-226 Wrocław - Fabryczna;www.rettman.pl;None;['tel. (71) 720 70 12', 'fax (71) 358 07 16'];['Catering']
Smażalnia Ryb;ul. Kętrzyńska 4211-200 Bartoszyce;www.smazalniabartoszyce.pl;None;['kom. 660 253 768'];['Catering']
Stołówka CZWÓRKA;ul. Jana Zamoyskiego 422-400 Zamość;www.stolowkaczworka.strefa.pl;None;['kom. 692 924 449', 'tel. (84) 638 95 00'];['Catering']
SUSHI BOX;ul. Sandomierska 802-567 Warszawa;www.sushi-box.pl;None;['tel. (22) 423 88 99', 'tel. (22) 214 14 69'];['Catering']
Szafran Catering Robert Kubicki;ul. Rosoła 1002-786 Warszawa - Ursynów;www.szafran-catering.pl;None;['tel. (22) 645 81 25', 'kom. 509 678 563'];['Catering']
UGOTOWANY;ul. Grunwaldzka 7285-239 Bydgoszcz;www.ugotowany.pl;None;['tel. (52) 516 36 00', 'kom. 883 001 636'];['Catering']
Usługi Gastronomiczne ElPaula;ul. Bobrowiecka 100-728 Warszawa;www.jedzonko.com.pl;None;['tel. (22) 567 99 30', 'fax (22) 567 99 31', 'kom. 519 578 182'];['Catering']
WAM CATERING Sp. z o.o.;ul. Kaliska 2062-860 Opatówek;www.slim-boxes.kalisz.pl;None;['kom. 883 620 540'];['Catering']
Warsaw Catering Sp. z o.o.;ul. Obrazkowa 1003-188 Warszawa;www.catering-warszawa.biz;None;['tel. (22) 846 73 97'];['Catering']
WROTNIEWSCY.PL S.c.;ul. Różana 8-1075-213 Koszalin;www.wrotniewscy.pl;None;['tel. (94) 345 22 69 catering', 'kom. 691 206 204 organizacja wesel', 'tel. (94) 343 25 13 dom pogrzebowy'];['Catering', 'Sale i domy weselne', 'Usługi pogrzebowe']
Antwork Sp. z o.o.;ul. Potokowa 2680-283 Gdańsk;www.antwork.pl;None;['tel. (58) 512 93 33'];['Organizacja kongresów, sympozjów, konferencji', 'Wirtualne biura', 'Catering']
AsiaSushi Sushi na Telefon;ul. Leśna 23b59-300 Lubin;www.asiasushi.pl;None;['kom. 661 640 661'];['Restauracje, bary, puby', 'Catering']
Bar CAMELEON;ul. Budowlanych 3543-100 Tychy;www.barcameleon.go3.pl;None;['tel. (32) 780 34 58'];['Restauracje, bary, puby', 'Catering']
Bar JAGA Catering;ul. Wyzwolenia 1810-106 Olsztyn;www.barjagaolsztyn.pl;None;['tel. (89) 511 94 49'];['Restauracje, bary, puby', 'Catering']
Bar OMEGA;ul. Olsztyńska 411-500 Giżycko;www.baromega.pl;None;['tel. (87) 428 37 63'];['Restauracje, bary, puby', 'Catering']
Bar SMAKOSZ;ul. Kozielska 6544-156 Sierakowice;www.barsmakoszsierakowice.pl;None;['tel. (32) 726 43 78', 'kom. 692 332 603'];['Restauracje, bary, puby', 'Catering']
DEGUSTO;Stryj 7908-550 Kłoczew;None;None;['kom. 514 853 362'];['Słodycze, wyroby cukiernicze', 'Catering']
DELICE CATERING Dom Weselny;ul. Podhalańska 31a34-480 Jabłonka;www.delicecatering.pl;None;['kom. 666 366 417'];['Sale i domy weselne', 'Restauracje, bary, puby', 'Catering']
Dworek GROF;ul. Jedlińska 10843-220 Bojszowy;www.dworekgrof.pl;None;['tel. (32) 210 00 00', 'kom. 505 555 442'];['Restauracje, bary, puby', 'Catering', 'Imprezy, eventy']
Dwór Maria Antonina;Glinik Zaborowski 18138-100 Strzyżów;www.dwormariaantonina.pl;None;['tel. (17) 250 08 35', 'kom. 604 198 141', 'kom. 604 096 641'];['Hotele, motele, hostele', 'Restauracje, bary, puby', 'Catering']
Firma Szuszkiewicz Sala Bankietowa;osiedle Piastowskie 7561-159 Poznań - Nowe Miasto;www.bankietowa-szuszkiewicz.pl;None;['kom. 502 232 593'];['Sale i domy weselne', 'Catering']
Firma Wielobranżowa KAROLEK Iwona Kuczyńska;ul. Zielonej Łąki 1a05-502 Wólka Kozodawska;www.obiadydomowe.wizytowka.pl;None;['kom. 508 136 206'];['Restauracje, bary, puby', 'Catering']
Gościnna Chata;Czarnowo87-134 Zławieś Wielka;goscinnachata.w.interia.pl;None;['tel. (56) 678 01 67', 'kom. 600 559 777', 'kom. 602 123 791'];['Restauracje, bary, puby', 'Catering']
GUSTO Bistro & Pizza;ul. Gdańska 5585-005 Bydgoszcz;www.bistrogusto.pl;None;['kom. 570 500 802'];['Pizzerie', 'Catering', 'Restauracje, bary, puby']
Heyday Group Sp. z o.o.;ul. Pogonowskiego 5/790-745 Łódź - Polesie;www.heyday-cafe.pl;None;['tel. (42) 633 35 63'];['Kawa i herbata', 'Gastronomiczny sprzęt, wyposażenie', 'Catering']
Hotel AZYL Sp. z o.o.;ul. Popiełuszki 2655-080 Kąty Wrocławskie;www.hotelazyl.pl;None;['tel. (71) 791 32 90'];['Hotele, motele, hostele', 'Restauracje, bary, puby', 'Sale i domy weselne', 'Catering']
Karczma Irena;ul. Kolejowa17-230 Białowieża;www.bialowieskakarczma.w.interia.pl;None;['kom. 608 192 955'];['Restauracje, bary, puby', 'Catering']
KRAINA SMAKU;ul. Witkiewicza 1234-500 Zakopane;www.kraina-smaku.com.pl;None;['kom. 788 788 220', 'kom. 600 964 929'];['Wyroby garmażeryjne', 'Cukiernie, ciastkarnie', 'Catering']
Krak-Bar JADŁODAJNIA;ul. Rzemieślnicza 2030-363 Kraków - Podgórze;www.taniobiad.republika.pl;None;['tel. (12) 254 12 39', 'tel. (12) 297 12 39'];['Restauracje, bary, puby', 'Catering']
KRASUCKI;ul. Polna 2 - piekarnia59-620 Gryfów Śląski;www.zkrasucki.pl;None;['tel. (75) 781 13 17 - piekarnia', 'tel. (75) 781 37 29 - catering', 'kom. 601 844 884'];['Piekarnie', 'Catering']
PHU BOBAS Iwona Niemiałkowska-Butrym PYZA DOBRA KUCHNIA;ul. Radości 2b20-530 Lublin;www.pyzadobrakuchnia.pl;None;['tel. (81) 527 77 78'];['Wyroby garmażeryjne', 'Restauracje, bary, puby', 'Catering']
Pierogarnia SIÓDME NIEBO;ul. Tumska 1662-200 Gniezno;www.pierogarnia.gniezno.pl;None;['kom. 785 824 050'];['Pierogarnie', 'Catering']
Pierogarnia STARA CHATA;ul. Daszyńskiego 5e56-400 Oleśnica;www.starachata.info;None;['tel. (71) 723 00 11', 'fax (71) 723 00 12'];['Pierogarnie', 'Catering']
Pierogowa Izba;ul. Zagórska 2425-339 Kielce;www.pierogowaizba.pl;None;['kom. 509 138 214', 'kom. 782 975 460'];['Restauracje, bary, puby', 'Catering']
Pizzeria ANTIPASTO;ul. Świętego Wincentego 114/u-603-291 Warszawa;www.antipasto.com.pl;None;['tel. (22) 301 01 51', 'kom. 789 318 650'];['Pizzerie', 'Catering', 'Restauracje, bary, puby']
PIZZERIA CAPONE;ul. Legnicka 6254-234 Wrocław - Fabryczna;None;None;['tel. (71) 349 77 00', 'kom. 503 199 993'];['Pizzerie', 'Catering']
Pizzeria METRUM;Wola Rzędzińska 8133-150 Wola Rzędzińska;www.pizza-metrum.pl;None;['kom. 793 736 667'];['Pizzerie', 'Catering']
Pizzeria restauracja Aida;ul. Wałowa 433-100 Tarnów;www.restauracja-aida.pl;None;['tel. (14) 627 42 64'];['Restauracje, bary, puby', 'Catering', 'Pizzerie']
